"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
30,2022,165,1,1,0,0,NA,0.646,606.59,0.539494324,0.079236025,0.32383728,0.492389679,0.539134979,0.581262589,0.644535065,0.802436829
30,2022,257,1,2,0,0,NA,0.224,262.94,0.186838454,0.027867868,0.118049622,0.166942596,0.186408997,0.206668854,0.222489929,0.260147095
30,2023,157,1,1,NA,0,5,0.582,651.85,0.649744537,0.078404359,0.374542236,0.624853134,0.672969818,0.702411652,0.725585938,0.789489746
30,2023,265,1,2,NA,2,NA,0.268,374.21,0.204437946,0.021695173,0.148422241,0.188240051,0.204673767,0.22190094,0.233222961,0.249130249
31,2022,165,1,1,0,0,5,0.688,792.7,0.64039714,0.075121866,0.349899292,0.608230591,0.656326294,0.694700241,0.720523834,0.758781433
31,2022,257,1,2,1,2,4,0.246,565.87,0.256319946,0.045929204,0.153190613,0.219232559,0.250076294,0.288228989,0.324505615,0.374176025
31,2023,157,1,1,NA,0,5,0.674,870.42,0.613120314,0.0730214,0.345626831,0.575790405,0.625091553,0.672977448,0.695027161,0.754104614
31,2023,265,1,2,NA,2,4,0.31,690.71,0.278778074,0.052007152,0.19229126,0.23739624,0.262443542,0.32264328,0.363385773,0.40171051
32,2022,165,1,1,0,0,NA,0.79,789.76,0.702530396,0.085319677,0.456428528,0.646606445,0.686882019,0.743598938,0.828399658,0.959815979
32,2022,257,1,2,0,1,NA,0.286,381.11,0.253680961,0.071134203,0.087249756,0.205551147,0.242530823,0.29617691,0.371586609,0.417396545
32,2023,157,1,1,NA,0,4,0.756,1016.08,0.695332787,0.10811341,0.324424744,0.627788544,0.70841217,0.782138824,0.827157593,0.884811401
32,2023,265,1,2,NA,2,NA,0.262,435.79,0.24493027,0.042815708,0.128387451,0.222135544,0.243942261,0.268499374,0.303310394,0.383331299
33,2022,165,1,1,0,0,5,0.988,1079.28,0.712405355,0.114999001,0.405410767,0.629562378,0.707237244,0.797649384,0.872758484,0.957496643
33,2022,257,1,2,1,2,3,0.216,615.29,0.216718521,0.02830406,0.073356628,0.205055237,0.218345642,0.232658386,0.247543335,0.3309021
33,2023,157,1,1,NA,0,4,0.834,1100.03,0.827658902,0.149295103,0.317901611,0.726516724,0.848640442,0.947257996,0.998321533,1.087043762
33,2023,265,1,2,NA,2,3,0.34,595.62,0.309715785,0.042418927,0.190292358,0.287395477,0.304904938,0.328536987,0.364738464,0.439559937
34,2022,165,1,1,0,1,NA,0.366,939.44,0.358733954,0.059962929,0.192459106,0.323497772,0.3673172,0.397821426,0.432363129,0.490478516
34,2022,257,1,2,1,2,NA,0.264,585.06,0.244021237,0.067124586,0.050941467,0.191913605,0.245510101,0.302419662,0.332949829,0.373832703
34,2023,157,1,1,NA,1,7,0.504,814.95,0.578953823,0.081262441,0.325141907,0.520122528,0.583511353,0.644920349,0.688323975,0.737182617
