window_size,direction,train_f,run_id,data_filter,lodg_opt,targ_var,Treat,job,comb,stat,make_run
15x15,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,48,15x15_135_lodging_biomass_obs_all,0,0
3x3,0,0.7,lodging_N_species,lodging,1,N_species,all,49,3x3_0_lodging_N_species_all,1,0
3x3,45,0.7,lodging_N_species,lodging,1,N_species,all,50,3x3_45_lodging_N_species_all,1,0
3x3,90,0.7,lodging_N_species,lodging,1,N_species,all,51,3x3_90_lodging_N_species_all,1,0
3x3,135,0.7,lodging_N_species,lodging,1,N_species,all,52,3x3_135_lodging_N_species_all,1,0
5x5,0,0.7,lodging_N_species,lodging,1,N_species,all,53,5x5_0_lodging_N_species_all,1,0
5x5,45,0.7,lodging_N_species,lodging,1,N_species,all,54,5x5_45_lodging_N_species_all,1,0
5x5,90,0.7,lodging_N_species,lodging,1,N_species,all,55,5x5_90_lodging_N_species_all,1,0
5x5,135,0.7,lodging_N_species,lodging,1,N_species,all,56,5x5_135_lodging_N_species_all,1,0
7x7,0,0.7,lodging_N_species,lodging,1,N_species,all,57,7x7_0_lodging_N_species_all,1,0
7x7,45,0.7,lodging_N_species,lodging,1,N_species,all,58,7x7_45_lodging_N_species_all,1,0
7x7,90,0.7,lodging_N_species,lodging,1,N_species,all,59,7x7_90_lodging_N_species_all,1,0
7x7,135,0.7,lodging_N_species,lodging,1,N_species,all,60,7x7_135_lodging_N_species_all,1,0
15x15,0,0.7,lodging_N_species,lodging,1,N_species,all,61,15x15_0_lodging_N_species_all,1,0
15x15,45,0.7,lodging_N_species,lodging,1,N_species,all,62,15x15_45_lodging_N_species_all,1,0
15x15,90,0.7,lodging_N_species,lodging,1,N_species,all,63,15x15_90_lodging_N_species_all,1,0
15x15,135,0.7,lodging_N_species,lodging,1,N_species,all,64,15x15_135_lodging_N_species_all,1,0
3x3,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,65,3x3_0_nonlodging_biomass_obs_all,0,0
3x3,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,66,3x3_45_nonlodging_biomass_obs_all,0,0
3x3,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,67,3x3_90_nonlodging_biomass_obs_all,0,0
3x3,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,68,3x3_135_nonlodging_biomass_obs_all,0,0
5x5,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,69,5x5_0_nonlodging_biomass_obs_all,0,0
5x5,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,70,5x5_45_nonlodging_biomass_obs_all,0,0
5x5,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,71,5x5_90_nonlodging_biomass_obs_all,0,0
5x5,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,72,5x5_135_nonlodging_biomass_obs_all,0,0
7x7,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,73,7x7_0_nonlodging_biomass_obs_all,0,0
