window_size,direction,band,hbefore,jobid,run
5x5,45,NIR,22.09.2023,70,T
5x5,90,NIR,22.09.2023,71,T
5x5,135,NIR,22.09.2023,72,T
7x7,0,NIR,22.09.2023,73,T
7x7,45,NIR,22.09.2023,74,T
7x7,90,NIR,22.09.2023,75,T
7x7,135,NIR,22.09.2023,76,T
15x15,0,NIR,22.09.2023,77,T
15x15,45,NIR,22.09.2023,78,T
15x15,90,NIR,22.09.2023,79,T
15x15,135,NIR,22.09.2023,80,T
